subject_folder	mapping_participant	mapping_file	trial_index	block	trial_in_block	trigger	category	mapped_path	exact_image_path	image_found	is_repeat	expected_presentations_for_trigger	eeg_sample	eeg_time_ms	timing_source	timing_status	csv_available	csv_order_match	epoch_valid	artifact_peak_uv	artifact_status
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	1	1	1	1096	beaver	images_THINGS/object_images/beaver/beaver_13n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/beaver/beaver_13n.jpg	True	False	1	473780	1780477439217.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	28.757494	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	2	1	2	1124	nightshirt	images_THINGS/object_images/nightshirt/nightshirt_11s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/nightshirt/nightshirt_11s.jpg	True	False	2	476887	1780477445431.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	36.612019	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	3	1	3	1006	cardinal	images_THINGS/object_images/cardinal/cardinal_02s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/cardinal/cardinal_02s.jpg	True	False	2	479846	1780477451349.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	203.271729	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	4	1	4	1071	mongoose	images_THINGS/object_images/mongoose/mongoose_10s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/mongoose/mongoose_10s.jpg	True	False	2	482793	1780477457244.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	15.482880	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	5	1	5	1077	bison	images_THINGS/object_images/bison/bison_08s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/bison/bison_08s.jpg	True	False	1	485797	1780477463252.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	32.121223	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	6	1	6	1159	pear	images_THINGS/object_images/pear/pear_09s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/pear/pear_09s.jpg	True	False	2	488696	1780477469050.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	269.876190	review
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	7	1	7	1062	antelope	images_THINGS/object_images/antelope/antelope_12n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/antelope/antelope_12n.jpg	True	False	2	491789	1780477475237.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	223.897110	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	8	1	8	1145	rocking_chair	images_THINGS/object_images/rocking_chair/rocking_chair_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/rocking_chair/rocking_chair_07s.jpg	True	False	2	494682	1780477481023.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	242.640945	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	9	1	9	1015	moose	images_THINGS/object_images/moose/moose_02s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/moose/moose_02s.jpg	True	False	2	497560	1780477486779.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	38.226379	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	10	1	10	1092	bunkbed	images_THINGS/object_images/bunkbed/bunkbed_02s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/bunkbed/bunkbed_02s.jpg	True	False	2	500504	1780477492668.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	25.586645	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	11	1	11	1001	limousine	images_THINGS/object_images/limousine/limousine_03s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/limousine/limousine_03s.jpg	True	False	2	503528	1780477498716.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	46.882797	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	12	1	12	1160	clam	images_THINGS/object_images/clam/clam_06s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/clam/clam_06s.jpg	True	False	2	506400	1780477504460.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	257.350739	review
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	13	1	13	1020	television	images_THINGS/object_images/television/television_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/television/television_07s.jpg	True	False	2	509372	1780477510405.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	44.615707	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	14	1	14	1104	speaker	images_THINGS/object_images/speaker/speaker_19n.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/speaker/speaker_19n.jpg	True	False	2	512445	1780477516551.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	25.383993	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	15	1	15	1134	sleeping_bag	images_THINGS/object_images/sleeping_bag/sleeping_bag_07s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sleeping_bag/sleeping_bag_07s.jpg	True	False	2	515507	1780477522675.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	74.739052	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	16	1	16	1147	lemonade	images_THINGS/object_images/lemonade/lemonade_01b.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/lemonade/lemonade_01b.jpg	True	False	2	518420	1780477528501.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	57.210228	pass
P04	Moris	lab_data/P04/P04_EEG_recon_2026-06-03_09h59.07.369_image_mapping.json	17	1	17	1121	sunglasses	images_THINGS/object_images/sunglasses/sunglasses_06s.jpg	/media/psycontrol/HDD/Datasets/THINGS/images_THINGS/object_images/sunglasses/sunglasses_06s.jpg	True	False	2	521482	1780477534626.000	easy_marker_manifest_order_min_gap_5s	pass	False		True	241.538910	pass
